iter	Passed	Remaining
0	56	56166
1	56	28437
2	57	19229
3	58	14675
4	60	11957
5	61	10125
6	62	8828
7	63	7859
8	64	7096
9	65	6482
10	66	5980
11	67	5550
12	68	5178
13	69	4868
14	70	4598
15	71	4366
16	71	4161
17	72	3971
18	73	3798
19	74	3654
20	75	3512
21	76	3386
22	77	3280
23	78	3177
24	79	3084
25	80	3011
26	81	2921
27	81	2842
28	82	2767
29	83	2698
30	84	2627
31	85	2572
32	85	2514
33	86	2467
34	87	2420
35	88	2373
36	89	2328
37	90	2290
38	92	2276
39	93	2246
40	94	2207
41	95	2172
42	100	2234
43	101	2196
44	101	2162
45	103	2145
46	104	2121
47	105	2092
48	106	2067
49	107	2046
50	108	2018
51	109	1994
52	113	2029
53	114	2003
54	115	1993
55	117	1973
56	118	1960
57	119	1938
58	120	1915
59	120	1895
60	121	1872
61	122	1850
62	122	1827
63	123	1805
64	124	1784
65	124	1766
66	126	1755
67	129	1777
68	133	1802
69	134	1784
70	137	1794
71	138	1786
72	141	1795
73	142	1783
74	143	1766
75	144	1751
76	145	1738
77	145	1724
78	146	1709
79	147	1701
80	149	1698
81	150	1688
82	151	1670
83	152	1662
84	153	1652
85	154	1640
86	155	1626
87	157	1637
88	159	1628
89	160	1621
90	161	1612
91	162	1604
92	163	1596
93	164	1584
94	165	1573
95	165	1562
96	166	1550
97	167	1537
98	167	1524
99	168	1512
100	168	1501
101	169	1494
102	170	1488
103	171	1479
104	172	1471
105	173	1461
106	173	1450
107	175	1447
108	176	1439
109	177	1436
110	178	1426
111	178	1416
112	179	1406
113	179	1396
114	180	1386
115	180	1376
116	181	1366
117	182	1362
118	183	1356
119	184	1351
120	185	1347
121	186	1341
122	187	1337
123	188	1334
124	189	1326
125	190	1322
126	191	1316
127	192	1309
128	193	1305
129	194	1300
130	195	1296
131	196	1290
132	197	1285
133	198	1281
134	199	1276
135	200	1271
136	201	1266
137	202	1261
138	203	1258
139	204	1254
140	205	1249
141	205	1242
142	206	1237
143	207	1233
144	208	1229
145	209	1224
146	210	1220
147	211	1215
148	212	1212
149	213	1208
150	214	1204
151	215	1202
152	216	1197
153	217	1192
154	217	1187
155	218	1184
156	219	1180
157	220	1175
158	221	1173
159	222	1169
160	223	1164
161	224	1160
162	225	1157
163	226	1153
164	227	1150
165	228	1147
166	229	1143
167	230	1140
168	231	1136
169	232	1133
170	233	1130
171	234	1127
172	235	1124
173	236	1121
174	237	1118
175	238	1114
176	239	1111
177	239	1108
178	241	1105
179	241	1102
180	242	1098
181	243	1096
182	244	1092
183	245	1090
184	246	1087
185	247	1084
186	248	1081
187	249	1079
188	250	1075
189	251	1073
190	252	1070
191	253	1067
192	254	1065
193	255	1062
194	256	1059
195	257	1056
196	258	1053
197	259	1050
198	260	1047
199	261	1044
200	261	1041
201	263	1039
202	264	1037
203	264	1033
204	265	1030
205	266	1027
206	267	1024
207	268	1022
208	269	1019
209	270	1016
210	271	1013
211	271	1010
212	272	1006
213	273	1003
214	274	1000
215	274	997
216	275	994
217	276	991
218	277	988
219	277	985
220	278	983
221	279	980
222	280	977
223	281	974
224	282	972
225	283	969
226	283	966
227	284	963
228	285	960
229	286	957
230	286	955
231	287	952
232	288	949
233	289	946
234	289	943
235	290	940
236	291	938
237	292	935
238	292	932
239	293	930
240	294	927
241	295	925
242	296	922
243	297	920
244	297	918
245	298	915
246	299	913
247	300	910
248	300	907
249	301	904
250	302	901
251	302	898
252	303	895
253	304	892
254	304	890
255	305	887
256	305	884
257	306	881
258	307	879
259	308	876
260	308	874
261	309	871
262	310	869
263	310	866
264	311	863
265	312	861
266	312	858
267	313	856
268	314	853
269	314	851
270	315	848
271	316	846
272	316	843
273	317	841
274	318	838
275	318	836
276	319	833
277	320	831
278	320	829
279	321	826
280	322	824
281	323	822
282	323	820
283	324	817
284	325	815
285	325	813
286	326	811
287	327	809
288	328	807
289	328	804
290	329	802
291	330	800
292	330	798
293	331	795
294	332	793
295	332	791
296	333	789
297	334	787
298	334	785
299	335	782
300	336	780
301	337	779
302	337	777
303	338	774
304	339	772
305	339	770
306	341	770
307	341	768
308	342	765
309	343	763
310	343	761
311	344	759
312	345	757
313	345	755
314	346	753
315	348	753
316	348	751
317	349	749
318	352	753
319	353	750
320	353	748
321	354	746
322	355	744
323	361	753
324	361	751
325	362	749
326	363	747
327	363	744
328	364	742
329	364	740
330	365	738
331	365	736
332	366	734
333	367	731
334	373	740
335	373	738
336	374	736
337	375	736
338	376	734
339	377	732
340	378	730
341	378	728
342	379	726
343	379	724
344	380	722
345	381	720
346	382	718
347	382	716
348	384	716
349	384	714
350	385	712
351	386	710
352	387	709
353	388	708
354	388	706
355	389	704
356	389	702
357	390	700
358	391	698
359	391	696
360	392	694
361	393	693
362	393	691
363	394	689
364	395	687
365	395	685
366	396	683
367	398	684
368	399	682
369	399	680
370	400	679
371	401	677
372	401	675
373	402	674
374	403	672
375	404	670
376	405	669
377	406	668
378	407	666
379	407	665
380	408	663
381	408	661
382	409	659
383	410	658
384	411	656
385	411	654
386	412	653
387	412	651
388	413	649
389	414	647
390	414	646
391	415	644
392	416	642
393	416	641
394	417	639
395	418	637
396	418	636
397	419	634
398	420	633
399	420	631
400	421	629
401	422	628
402	422	626
403	423	625
404	424	623
405	425	621
406	425	620
407	426	618
408	427	617
409	427	615
410	428	613
411	429	612
412	429	610
413	430	609
414	431	607
415	431	606
416	432	604
417	433	603
418	433	601
419	434	599
420	435	598
421	435	596
422	436	595
423	436	593
424	437	592
425	438	590
426	438	588
427	439	586
428	439	585
429	440	583
430	440	581
431	441	580
432	441	578
433	442	577
434	443	575
435	443	573
436	444	572
437	444	570
438	445	568
439	445	567
440	446	565
441	446	564
442	447	562
443	447	560
444	448	559
445	449	558
446	450	557
447	451	555
448	451	554
449	452	552
450	452	551
451	453	549
452	454	548
453	454	546
454	455	545
455	455	543
456	456	542
457	456	540
458	457	539
459	457	537
460	458	536
461	459	534
462	459	533
463	460	531
464	460	530
465	461	528
466	461	526
467	462	525
468	463	524
469	463	522
470	464	521
471	465	520
472	465	518
473	466	517
474	467	516
475	467	514
476	468	513
477	468	511
478	469	510
479	469	509
480	470	507
481	471	506
482	471	504
483	472	503
484	472	502
485	473	500
486	474	500
487	475	498
488	475	497
489	476	495
490	476	494
491	477	492
492	478	491
493	478	490
494	479	488
495	479	487
496	480	486
497	481	485
